"length","drain","level","iteration"
1317.60377239795,14,2,1
946.327108083402,2,1,1
1540.81583590949,1,1,1
2374.90278603524,22,2,2
1318.04761691703,6,1,2
304.900243219392,5,1,2
1873.78162175049,4,1,2
2555.04385267778,3,1,2
946.327108083402,2,1,2
1540.81583590949,1,1,2
2958.20610041023,23,2,3
1807.90056143206,7,1,3
1318.04761691703,6,1,3
304.900243219392,5,1,3
1873.78162175049,4,1,3
2555.04385267778,3,1,3
946.327108083402,2,1,3
1540.81583590949,1,1,3
754.503937565456,7,1,4
1318.04761691703,6,1,4
304.900243219392,5,1,4
1873.78162175049,4,1,4
2555.04385267778,3,1,4
946.327108083402,2,1,4
1540.81583590949,1,1,4
253.654086705111,8,1,5
1807.90056143206,7,1,5
1318.04761691703,6,1,5
304.900243219392,5,1,5
1873.78162175049,4,1,5
2555.04385267778,3,1,5
946.327108083402,2,1,5
1540.81583590949,1,1,5
831.310448688841,13,2,6
1540.81583590949,1,1,6
1463.99645321134,8,1,7
1807.90056143206,7,1,7
1318.04761691703,6,1,7
304.900243219392,5,1,7
1873.78162175049,4,1,7
2555.04385267778,3,1,7
946.327108083402,2,1,7
1540.81583590949,1,1,7
1584.40821621967,3,1,8
946.327108083402,2,1,8
1540.81583590949,1,1,8
395.277193968146,13,2,9
1540.81583590949,1,1,9
6298.67816571647,15,2,10
2555.04385267778,3,1,10
946.327108083402,2,1,10
1540.81583590949,1,1,10
1884.09774449447,23,2,11
1807.90056143206,7,1,11
1318.04761691703,6,1,11
304.900243219392,5,1,11
1873.78162175049,4,1,11
2555.04385267778,3,1,11
946.327108083402,2,1,11
1540.81583590949,1,1,11
367.033585569175,17,2,12
868.184281508977,16,2,12
1873.78162175049,4,1,12
2555.04385267778,3,1,12
946.327108083402,2,1,12
1540.81583590949,1,1,12
170.153694132958,24,2,13
1803.77989708243,8,1,13
1807.90056143206,7,1,13
1318.04761691703,6,1,13
304.900243219392,5,1,13
1873.78162175049,4,1,13
2555.04385267778,3,1,13
946.327108083402,2,1,13
1540.81583590949,1,1,13
724.805821330523,26,2,14
2314.67418287441,10,1,14
456.040162801642,9,1,14
1803.77989708243,8,1,14
1807.90056143206,7,1,14
1318.04761691703,6,1,14
304.900243219392,5,1,14
1873.78162175049,4,1,14
2555.04385267778,3,1,14
946.327108083402,2,1,14
1540.81583590949,1,1,14
1506.68740479233,7,1,15
1318.04761691703,6,1,15
304.900243219392,5,1,15
1873.78162175049,4,1,15
2555.04385267778,3,1,15
946.327108083402,2,1,15
1540.81583590949,1,1,15
1270.05543401676,15,2,16
2555.04385267778,3,1,16
946.327108083402,2,1,16
1540.81583590949,1,1,16
912.813588709861,4,1,17
2555.04385267778,3,1,17
946.327108083402,2,1,17
1540.81583590949,1,1,17
1052.93137511353,21,2,18
2904.51953149416,20,2,18
304.900243219392,5,1,18
1873.78162175049,4,1,18
2555.04385267778,3,1,18
946.327108083402,2,1,18
1540.81583590949,1,1,18
477.352594729725,21,2,19
2904.51953149416,20,2,19
304.900243219392,5,1,19
1873.78162175049,4,1,19
2555.04385267778,3,1,19
946.327108083402,2,1,19
1540.81583590949,1,1,19
32.7788240773736,1,1,20
605.046693924724,10,1,21
456.040162801642,9,1,21
1803.77989708243,8,1,21
1807.90056143206,7,1,21
1318.04761691703,6,1,21
304.900243219392,5,1,21
1873.78162175049,4,1,21
2555.04385267778,3,1,21
946.327108083402,2,1,21
1540.81583590949,1,1,21
945.844632057829,14,2,22
946.327108083402,2,1,22
1540.81583590949,1,1,22
959.063315589032,21,2,23
2904.51953149416,20,2,23
304.900243219392,5,1,23
1873.78162175049,4,1,23
2555.04385267778,3,1,23
946.327108083402,2,1,23
1540.81583590949,1,1,23
3452.740116094,17,2,24
868.184281508977,16,2,24
1873.78162175049,4,1,24
2555.04385267778,3,1,24
946.327108083402,2,1,24
1540.81583590949,1,1,24
648.908634564774,31,3,25
1251.4176492979,18,2,25
5580.23785088081,17,2,25
868.184281508977,16,2,25
1873.78162175049,4,1,25
2555.04385267778,3,1,25
946.327108083402,2,1,25
1540.81583590949,1,1,25
313.981012027256,2,1,26
1540.81583590949,1,1,26
685.292888838581,14,2,27
946.327108083402,2,1,27
1540.81583590949,1,1,27
553.484562319672,1,1,28
4138.27893488632,15,2,29
2555.04385267778,3,1,29
946.327108083402,2,1,29
1540.81583590949,1,1,29
3154.02539545344,14,2,30
946.327108083402,2,1,30
1540.81583590949,1,1,30
582.693619695755,26,2,31
2314.67418287441,10,1,31
456.040162801642,9,1,31
1803.77989708243,8,1,31
1807.90056143206,7,1,31
1318.04761691703,6,1,31
304.900243219392,5,1,31
1873.78162175049,4,1,31
2555.04385267778,3,1,31
946.327108083402,2,1,31
1540.81583590949,1,1,31
2031.03068510047,15,2,32
2555.04385267778,3,1,32
946.327108083402,2,1,32
1540.81583590949,1,1,32
831.310448688841,13,2,33
1540.81583590949,1,1,33
