Neighborhood,Region,p_male,p_female,p_total,p_mf_ratio,p_households,p_ppl_hh,area_m2,area_km2,p_ppl_sqkm,p_hh_sqkm,w_pipe_ins,w_pipe_out,w_pub_tap,w_sachet,w_other,waste_solid_collected,waste_liquid_sewage,waste_liquid_gutter,waste_liquid_street,toil_opendef,toil_wc,toil_pitlat,toi_publictoilet,toil_other,lon,lat
ABBOSSEY OKAI,AMA-ABLEKUMA CENTRAL,12400,13935,26335,0.89,7942,3.32,773698,0.773698,34038,10265,0.43,0.3,0.14,0.12,0.01,0.51,0.02,0.29,0.02,0.02,0.25,0.02,0.62,0.08,-0.234799255,5.560154959
ABEKA,AMA-OKAIKOI NORTH,41091,44601,85692,0.921,26278,3.26,2535480,2.53548,33797,10364,0.29,0.39,0.08,0.19,0.04,0.76,0.08,0.24,0.07,0.04,0.26,0.08,0.26,0.36,-0.244267718,5.602964822
ABEKA LAPAZ,AMA-OKAIKOI NORTH,3354,3402,6756,0.986,2099,3.22,485612,0.485612,13912,4322,0.05,0.15,0.16,0.36,0.28,0.94,0.34,0.16,0.11,0.04,0.5,0.16,0.14,0.17,-0.255005224,5.60693225
ABELEMKPE,AMA-AYAWASO WEST,3588,3795,7383,0.945,2639,2.8,1999520,1.99952,3692,1320,0.53,0.1,0.09,0.21,0.07,0.82,0.35,0.22,0,0.05,0.73,0.04,0.04,0.14,-0.217114336,5.608571383
ABOFU,AMA-OKAIKOI NORTH,3614,3653,7267,0.989,2208,3.29,996941,0.996941,7289,2215,0.33,0.47,0.03,0.16,0.01,0.69,0.05,0.18,0.08,0.02,0.28,0.01,0.54,0.14,-0.222616302,5.617274393
ACCRA CENTRAL,AMA-ASHIEDU KETEKE,3307,3303,6610,1.001,1887,3.5,899840,0.89984,7346,2097,0.43,0.22,0.18,0.11,0.06,0.6,0.06,0.17,0.01,0.07,0.29,0.02,0.54,0.07,-0.206412065,5.544984516
ACHIMOTA,AMA-OKAIKOI NORTH,27944,29691,57635,0.941,17141,3.36,6825858,6.825858,8444,2511,0.29,0.35,0.07,0.17,0.11,0.72,0.13,0.19,0.13,0.04,0.33,0.1,0.25,0.28,-0.215393069,5.623815002
ADABRAKA,AMA-OSU CLOTTEY,17582,18928,36510,0.929,11371,3.21,2047416,2.047416,17832,5554,0.46,0.24,0.12,0.17,0.01,0.71,0.03,0.3,0.03,0.01,0.4,0.02,0.46,0.11,-0.212899672,5.560493051
ADEDENKPO,AMA-ASHIEDU KETEKE,18759,20240,38999,0.927,13830,2.82,1095887,1.095887,35587,12620,0.11,0.34,0.27,0.27,0.01,0.6,0.03,0.08,0.14,0.02,0.05,0,0.91,0.03,-0.220567629,5.545072848
AIRPORT RESIDENTIAL AREA,AMA-AYAWASO WEST,2614,2465,5079,1.06,1767,2.87,4079460,4.07946,1245,433,0.49,0.31,0.02,0.12,0.06,0.81,0.2,0.42,0.04,0.04,0.78,0.05,0.09,0.04,-0.183237596,5.608375536
AKWETEMAN,AMA-OKAIKOI NORTH,10157,10620,20777,0.956,6664,3.12,2202545,2.202545,9433,3026,0.22,0.39,0.08,0.15,0.16,0.76,0.09,0.11,0.21,0.06,0.25,0.08,0.29,0.32,-0.240436524,5.613534527
ALAJO,AMA-AYAWASO CENTRAL,21548,22496,44044,0.958,12991,3.39,1944938,1.944938,22645,6679,0.34,0.35,0.14,0.15,0.01,0.53,0.09,0.21,0.03,0.01,0.27,0.06,0.41,0.24,-0.215169223,5.597326617
ALOGBOSHIE,AMA-OKAIKOI NORTH,907,993,1900,0.913,530,3.58,61966,0.061966,30662,8553,0.28,0.39,0.15,0.16,0.02,0.18,0.25,0.16,0.12,0.01,0.32,0.03,0.46,0.19,-0.232814565,5.627806111
ANUMLE,AMA-OKAIKOI NORTH,820,865,1685,0.948,414,4.07,2062953,2.062953,817,201,0.18,0.03,0.74,0.04,0.01,0.18,0.1,0.05,0.02,0.17,0.22,0.01,0.59,0.02,-0.207033187,5.636028925
APENKWA,AMA-OKAIKOI NORTH,944,947,1891,0.997,652,2.9,97286,0.097286,19438,6702,0.12,0.24,0.49,0.13,0.02,0.85,0.03,0.01,0,0,0.21,0.01,0.4,0.37,-0.228403144,5.61002045
ASYLUM DOWN,AMA-OSU CLOTTEY,6502,6300,12802,1.032,3715,3.45,1081932,1.081932,11833,3434,0.66,0.12,0.03,0.16,0.02,0.84,0.11,0.44,0.02,0.02,0.77,0,0.15,0.06,-0.205594742,5.56833692
AVENOR,AMA-OKAIKOI SOUTH,11950,11417,23367,1.047,7501,3.12,649644,0.649644,35969,11546,0.46,0.26,0.12,0.13,0.02,0.61,0.05,0.27,0.06,0.01,0.46,0.02,0.42,0.09,-0.218069095,5.577591339
AWOSHIE,AMA-ABLEKUMA NORTH,9002,9893,18895,0.91,5649,3.34,1042741,1.042741,18121,5417,0.47,0.34,0.13,0.03,0.02,0.77,0.15,0.29,0.07,0.01,0.32,0.12,0.27,0.29,-0.278164109,5.584469835
BUBUASHIE,AMA-OKAIKOI SOUTH,20601,22773,43374,0.905,12928,3.36,2754535,2.754535,15746,4693,0.37,0.31,0.09,0.14,0.1,0.41,0.04,0.25,0.09,0.04,0.32,0.05,0.37,0.23,-0.245142995,5.579707864
CHORKOR,AMA-ABLEKUMA SOUTH,12610,14245,26855,0.885,7698,3.49,735750,0.73575,36500,10463,0.19,0.43,0.24,0.13,0.01,0.02,0.03,0.15,0.13,0.05,0.07,0.01,0.8,0.07,-0.245566961,5.526308193
CHRISTIAN VILLAGE,AMA-OKAIKOI NORTH,3832,3618,7450,1.059,2283,3.26,1068554,1.068554,6972,2137,0.27,0.52,0.07,0.13,0.02,0.18,0.03,0.19,0.18,0.03,0.22,0.02,0.7,0.03,-0.221826618,5.634200982
DANSOMAN,AMA-ABLEKUMA CENTRAL,26465,30144,56609,0.878,14951,3.79,6346037,6.346037,8920,2356,0.65,0.16,0.02,0.15,0.02,0.79,0.24,0.36,0.05,0.02,0.73,0.05,0.11,0.1,-0.268324339,5.550059788
DARKUMAN,AMA-ABLEKUMA NORTH,29639,31923,61562,0.928,17365,3.55,3616143,3.616143,17024,4802,0.35,0.36,0.15,0.12,0.02,0.74,0.06,0.24,0.05,0.01,0.31,0.06,0.3,0.31,-0.25493237,5.589771489
DZORWULU,AMA-AYAWASO WEST,5937,5600,11537,1.06,4074,2.83,3726168,3.726168,3096,1093,0.49,0.26,0.05,0.11,0.08,0.69,0.15,0.3,0.05,0.15,0.59,0.07,0.16,0.03,-0.194857069,5.617417667
EAST LEGON,AMA-AYAWASO WEST,4626,4235,8861,1.092,2945,3.01,6200694,6.200694,1429,475,0.43,0.25,0.07,0.16,0.1,0.6,0.05,0.33,0.06,0.2,0.52,0.05,0.18,0.05,-0.161318147,5.635835423
GBEGBEYISE,AMA-ABLEKUMA SOUTH,8955,9359,18314,0.957,5079,3.61,917228,0.917228,19967,5537,0.25,0.46,0.13,0.15,0.01,0.09,0.09,0.07,0.12,0.04,0.05,0.04,0.72,0.16,-0.267759893,5.523465376
GLEFE,AMA-ABLEKUMA SOUTH,4327,4411,8738,0.981,2486,3.51,394355,0.394355,22158,6304,0.08,0.54,0.32,0.05,0.01,0.07,0.06,0.02,0.29,0,0.01,0.01,0.87,0.11,-0.278042625,5.520235904
JAMES TOWN,AMA-ASHIEDU KETEKE,7546,8675,16221,0.87,5157,3.15,733248,0.733248,22122,7033,0.18,0.52,0.14,0.14,0.02,0.27,0.03,0.18,0.01,0.01,0.08,0.01,0.88,0.02,-0.215357739,5.53455195
KANDA,AMA-AYAWASO EAST,3961,4054,8015,0.977,1815,4.42,2182710,2.18271,3672,832,0.59,0.18,0.17,0.04,0.02,0.81,0.38,0.46,0.01,0.02,0.56,0.01,0.38,0.03,-0.189727503,5.583295387
KANESHIE,AMA-OKAIKOI SOUTH,14684,16457,31141,0.892,11139,2.8,2756892,2.756892,11296,4040,0.57,0.15,0.06,0.14,0.08,0.78,0.11,0.32,0.07,0.03,0.57,0.03,0.26,0.1,-0.231931562,5.571440315
KISSIEMAN,AMA-OKAIKOI NORTH,5937,6066,12003,0.979,3313,3.62,2237498,2.237498,5364,1481,0.39,0.31,0.18,0.08,0.04,0.58,0.15,0.13,0.11,0.07,0.43,0.13,0.22,0.15,-0.212090081,5.646253554
KOKOMLEMLE,AMA-AYAWASO CENTRAL,16588,18732,35320,0.886,10134,3.49,1723450,1.72345,20494,5880,0.59,0.2,0.04,0.14,0.03,0.75,0.07,0.45,0.01,0.03,0.58,0.02,0.23,0.15,-0.210954223,5.576833243
KORLE-BU,AMA-ABLEKUMA SOUTH,3445,4178,7623,0.825,2318,3.29,2426509,2.426509,3142,955,0.43,0.13,0.07,0.06,0.31,0.38,0.32,0.24,0.09,0.06,0.55,0.07,0.14,0.18,-0.230600525,5.541641965
KORLE DUDOR,AMA-ASHIEDU KETEKE,12751,14804,27555,0.861,7667,3.59,1304246,1.304246,21127,5878,0.3,0.31,0.12,0.18,0.1,0.67,0.1,0.19,0.03,0.03,0.19,0.02,0.68,0.08,-0.215649361,5.548749166
KORLE GONNO,AMA-ABLEKUMA SOUTH,14203,16352,30555,0.869,8884,3.44,1595588,1.595588,19150,5568,0.39,0.37,0.08,0.12,0.03,0.04,0.04,0.27,0.02,0.02,0.22,0.01,0.69,0.06,-0.228343091,5.5321488
KOTOBABI,AMA-AYAWASO CENTRAL,16134,17494,33628,0.922,9678,3.47,1299435,1.299435,25879,7448,0.37,0.35,0.07,0.17,0.04,0.57,0.03,0.32,0.04,0.03,0.3,0.07,0.25,0.34,-0.204308121,5.599036915
KPEHE,AMA-AYAWASO CENTRAL,1826,1932,3758,0.945,1438,2.61,162347,0.162347,23148,8858,0.72,0.21,0.01,0.04,0.01,0.72,0.21,0.28,0,0.03,0.39,0.07,0.18,0.33,-0.214759025,5.586923092
KWASHIEMAN,AMA-ABLEKUMA NORTH,14550,15858,30408,0.918,8460,3.59,2131071,2.131071,14269,3970,0.46,0.32,0.07,0.14,0.02,0.82,0.09,0.26,0.19,0.01,0.32,0.03,0.2,0.44,-0.266037336,5.594568149
LARTEBIOKORSHIE,AMA-ABLEKUMA CENTRAL,16704,18479,35183,0.904,9731,3.62,1679155,1.679155,20953,5795,0.46,0.38,0.07,0.07,0.02,0.54,0.06,0.32,0.05,0.01,0.44,0.02,0.44,0.09,-0.243867698,5.548749237
LEGON,AMA-AYAWASO WEST,9320,7359,16679,1.266,607,27.48,11267006,11.267006,1480,54,0.52,0.31,0.01,0.1,0.06,0.61,0.47,0.01,0.18,0.25,0.63,0.03,0.07,0.02,-0.190375088,5.647750975
LEGON STAFF VILLAGE,AMA-AYAWASO WEST,944,1043,1987,0.905,626,3.17,2104494,2.104494,944,297,0.59,0.15,0.06,0.16,0.04,0.69,0.18,0.28,0,0.09,0.54,0.04,0.09,0.23,-0.174440461,5.651658086
MAMOBI,AMA-AYAWASO EAST,29524,32200,61724,0.917,15151,4.07,1389036,1.389036,44437,10908,0.27,0.46,0.08,0.15,0.03,0.37,0.08,0.3,0,0.02,0.13,0.05,0.54,0.26,-0.196559929,5.59346796
MAMPONSE,AMA-ABLEKUMA SOUTH,15134,16776,31910,0.902,8961,3.56,1802091,1.802091,17707,4973,0.46,0.3,0.11,0.11,0.01,0.37,0.07,0.33,0.1,0.02,0.34,0.03,0.4,0.21,-0.258370354,5.530798395
MAMPROBI,AMA-ABLEKUMA SOUTH,12257,13595,25852,0.902,7880,3.28,1427422,1.427422,18111,5520,0.49,0.22,0.04,0.15,0.11,0.25,0.06,0.37,0.04,0.03,0.37,0.03,0.44,0.12,-0.241960551,5.534122394
MATAHEKO,AMA-ABLEKUMA CENTRAL,6998,7841,14839,0.892,4397,3.37,830154,0.830154,17875,5297,0.62,0.24,0.06,0.08,0.01,0.73,0.08,0.35,0.05,0.01,0.51,0.04,0.3,0.15,-0.241564951,5.562907915
MEMPEASEM,AMA-AYAWASO WEST,5266,4738,10004,1.111,2770,3.61,3565777,3.565777,2806,777,0.22,0.26,0.11,0.21,0.2,0.44,0.11,0.14,0.18,0.17,0.4,0.07,0.25,0.1,-0.160887502,5.651545159
MPOASE,AMA-ABLEKUMA SOUTH,6494,6956,13450,0.934,3736,3.6,1353600,1.3536,9936,2760,0.35,0.39,0.11,0.13,0.03,0.09,0.02,0.26,0.26,0.01,0.27,0.05,0.4,0.27,-0.272775527,5.528525013
