FID,Neighborhood,Region,lon,lat
0,ABBOSSEY OKAI,AMA-ABLEKUMA CENTRAL,-0.234799255,5.560154959
1,ABEKA,AMA-OKAIKOI NORTH,-0.244267718,5.602964822
2,ABEKA LAPAZ,AMA-OKAIKOI NORTH,-0.255005224,5.60693225
3,ABELEMKPE,AMA-AYAWASO WEST,-0.217114336,5.608571383
4,ABOFU,AMA-OKAIKOI NORTH,-0.222616302,5.617274393
5,ACCRA CENTRAL,AMA-ASHIEDU KETEKE,-0.206412065,5.544984516
6,ACHIMOTA,AMA-OKAIKOI NORTH,-0.215393069,5.623815002
7,ADEDENKPO,AMA-ASHIEDU KETEKE,-0.220567629,5.545072848
8,AIRPORT RESIDENTIAL AREA,AMA-AYAWASO WEST,-0.183237596,5.608375536
9,AKWETEMAN,AMA-OKAIKOI NORTH,-0.240436524,5.613534527
10,ALAJO,AMA-AYAWASO CENTRAL,-0.215169223,5.597326617
11,ALOGBOSHIE,AMA-OKAIKOI NORTH,-0.232814565,5.627806111
12,ANUMLE,AMA-OKAIKOI NORTH,-0.207033187,5.636028925
13,APENKWA,AMA-OKAIKOI NORTH,-0.228403144,5.61002045
14,ASYLUM DOWN,AMA-OSU CLOTTEY,-0.205594742,5.56833692
15,AVENOR,AMA-OKAIKOI SOUTH,-0.218069095,5.577591339
16,AWOSHIE,AMA-ABLEKUMA NORTH,-0.278164109,5.584469835
17,BUBUASHIE,AMA-OKAIKOI SOUTH,-0.245142995,5.579707864
18,CHORKOR,AMA-ABLEKUMA SOUTH,-0.245566961,5.526308193
19,CHRISTIAN VILLAGE,AMA-OKAIKOI NORTH,-0.221826618,5.634200982
20,DANSOMAN,AMA-ABLEKUMA CENTRAL,-0.268324339,5.550059788
21,DARKUMAN,AMA-ABLEKUMA NORTH,-0.25493237,5.589771489
22,DZORWULU,AMA-AYAWASO WEST,-0.194857069,5.617417667
23,EAST LEGON,AMA-AYAWASO WEST,-0.161318147,5.635835423
24,GBEGBEYISE,AMA-ABLEKUMA SOUTH,-0.267759893,5.523465376
25,GLEFE,AMA-ABLEKUMA SOUTH,-0.278042625,5.520235904
26,JAMES TOWN,AMA-ASHIEDU KETEKE,-0.215357739,5.53455195
27,KANDA,AMA-AYAWASO EAST,-0.189727503,5.583295387
28,KANESHIE,AMA-OKAIKOI SOUTH,-0.231931562,5.571440315
29,KISSIEMAN,AMA-OKAIKOI NORTH,-0.212090081,5.646253554
30,KOKOMLEMLE,AMA-AYAWASO CENTRAL,-0.210954223,5.576833243
31,KORLE-BU,AMA-ABLEKUMA SOUTH,-0.230600525,5.541641965
