"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0,0,0,0,6,0,0,0
"2",2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0,0,0,0,6,0,0
"3",12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0,0,0,0,6,0
"4",0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0,0,0,0,6
"5",1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0,0,0,0
"6",0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0,0,0
"7",0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0,0
"8",2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0,0
"9",0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0,0
"10",0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0,0
"11",0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0,0
"12",0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9,0
"13",0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0,9
"14",7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1,0
"15",0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4,1
"16",3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0,4
"17",2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3,0
"18",0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0,3
"19",0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9,0
"20",0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0,9
"21",0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14,0
"22",0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0,14
"23",0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0,0
"24",0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0,0
"25",0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7,0
"26",11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0,7
"27",0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1,0
"28",0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0,1
"29",0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0,0
"30",4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2,0
"31",0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12,2
"32",0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0,12
"33",0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1,0
"34",0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0,1
"35",5,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0,0
"36",0,5,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2,0
"37",0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0,2
"38",0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0,0
"39",0,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,0
"40",2,0,0,0,0,5,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0
